iso3,country,year,log_obs_expected,anc_disruption,anc_disruption_num,delivery_disruption,delivery_disruption_num,pnc_disruption,pnc_disruption_num,baseline_mmr_2019,log_baseline_mmr,anc4_pre2020_pct,sba_pre2020_pct
MLI,Mali,2022,-0.0679016104001228,Less than 5% (including 0%),0,Less than 5% (including 0%),0,Less than 5% (including 0%),0,416,6.03068526026126,43.3,67.3
MRT,Mauritania,2021,0.0176698771211006,5-25%,1,5-25%,1,Less than 5% (including 0%),0,423.6,6.04878961372725,63,69.3
MRT,Mauritania,2022,-0.0636964241131244,Less than 5% (including 0%),0,Less than 5% (including 0%),0,Less than 5% (including 0%),0,423.6,6.04878961372725,63,69.3
MUS,Mauritius,2021,0.122720722482179,Less than 5% (including 0%),0,Less than 5% (including 0%),0,Less than 5% (including 0%),0,67.15,4.20692892296925,77.7,99.8
MUS,Mauritius,2022,-0.176595524856358,Less than 5% (including 0%),0,Less than 5% (including 0%),0,Less than 5% (including 0%),0,67.15,4.20692892296925,77.7,99.8
MOZ,Mozambique,2021,0.28877201731098,Less than 5% (including 0%),0,Less than 5% (including 0%),0,Less than 5% (including 0%),0,111.4,4.71312732749318,51,73
MOZ,Mozambique,2022,-0.204188472167258,Increase of 5% or more,0,Increase of 5% or more,0,Increase of 5% or more,0,111.4,4.71312732749318,51,73
NAM,Namibia,2021,0.544921971041613,Less than 5% (including 0%),0,Less than 5% (including 0%),0,Less than 5% (including 0%),0,174.9,5.16421438202456,62.5,91.7
NAM,Namibia,2022,-0.0279553411371876,Less than 5% (including 0%),0,Less than 5% (including 0%),0,Less than 5% (including 0%),0,174.9,5.16421438202456,62.5,91.7
NER,Niger,2021,0.104671476170983,5-25%,1,Less than 5% (including 0%),0,Less than 5% (including 0%),0,405.7,6.0056139702124,38.5,39.1
NER,Niger,2022,0.062357208702665,5-25%,1,5-25%,1,5-25%,1,405.7,6.0056139702124,38.5,39.1
NGA,Nigeria,2022,-0.0844639244416027,Less than 5% (including 0%),0,Less than 5% (including 0%),0,Less than 5% (including 0%),0,1091,6.99484998583307,56.8,43.3
RWA,Rwanda,2021,0.127691572509633,Less than 5% (including 0%),0,Less than 5% (including 0%),0,Less than 5% (including 0%),0,261.3,5.56566917252657,43.9,90.7
RWA,Rwanda,2022,0.0945912105034353,Less than 5% (including 0%),0,Less than 5% (including 0%),0,Less than 5% (including 0%),0,261.3,5.56566917252657,43.9,90.7
STP,Sao Tome and Principe,2021,0.152958513599149,5-25%,1,5-25%,1,5-25%,1,94.78,4.55155841653944,83.6,96.8
SEN,Senegal,2021,-0.0647597104650106,Less than 5% (including 0%),0,Less than 5% (including 0%),0,5-25%,1,286.3,5.65704021210407,55.5,74.5
SEN,Senegal,2022,-0.165413107787672,26-50%,2,26-50%,2,5-25%,1,286.3,5.65704021210407,55.5,74.5
SLE,Sierra Leone,2021,-0.0993415571576288,5-25%,1,5-25%,1,5-25%,1,463.6,6.1390221114656,78.8,86.9
SSD,South Sudan,2021,-0.470780351782803,Less than 5% (including 0%),0,Less than 5% (including 0%),0,Less than 5% (including 0%),0,744.9,6.61324998118223,17.3,19.4
SSD,South Sudan,2022,-0.524521087299394,Less than 5% (including 0%),0,Less than 5% (including 0%),0,Less than 5% (including 0%),0,744.9,6.61324998118223,17.3,19.4
TGO,Togo,2021,-0.111407291879357,Less than 5% (including 0%),0,Less than 5% (including 0%),0,Less than 5% (including 0%),0,416,6.03068526026126,54.8,69.4
TGO,Togo,2022,-0.199143273054096,Less than 5% (including 0%),0,Less than 5% (including 0%),0,Less than 5% (including 0%),0,416,6.03068526026126,54.8,69.4
UGA,Uganda,2022,-0.0479589690684982,26-50%,2,5-25%,1,5-25%,1,218.7,5.38770092768272,57.6,74.2
TZA,United Republic of Tanzania,2021,-0.499714205191083,Less than 5% (including 0%),0,Less than 5% (including 0%),0,Less than 5% (including 0%),0,291.7,5.67572587687368,62.2,63.5
ZMB,Zambia,2021,0.615119486253201,5-25%,1,5-25%,1,5-25%,1,102.8,4.63278535302106,63.5,80.4
ZMB,Zambia,2022,0.28637239091206,5-25%,1,5-25%,1,5-25%,1,102.8,4.63278535302106,63.5,80.4
ZWE,Zimbabwe,2021,0.370614589064612,5-25%,1,5-25%,1,5-25%,1,387.6,5.95997388001661,71.5,86
ZWE,Zimbabwe,2022,0.255219542126349,Less than 5% (including 0%),0,Less than 5% (including 0%),0,Less than 5% (including 0%),0,387.6,5.95997388001661,71.5,86
