outcome,area,country,region,source_country_name,model_source,source_model_file
maternal_deaths,13,Bahrain,Eastern Mediterranean,Bahrain,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-13-01-01-2019.csv
maternal_deaths,14,Bangladesh,Southeast Asia Region,Bangladesh,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-14-01-01-2019.csv
maternal_deaths,15,Barbados,Region of the Americas,Barbados,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-15-01-01-2019.csv
maternal_deaths,16,Belarus,European Region,Belarus,ranked_top1_fallback,ranked(1)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-yearly-maternal-deaths-world-area-16-01-01-2019.csv
maternal_deaths,17,Belgium,European Region,Belgium,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-17-01-01-2019.csv
maternal_deaths,18,Belize,Region of the Americas,Belize,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-18-01-01-2019.csv
maternal_deaths,19,Benin,African Region,Benin,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-19-01-01-2019.csv
maternal_deaths,20,Bhutan,Southeast Asia Region,Bhutan,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-20-01-01-2019.csv
maternal_deaths,21,Bolivia,Region of the Americas,Bolivia (Plurinational State of),ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-21-01-01-2019.csv
maternal_deaths,22,Bosnia,European Region,Bosnia and Herzegovina,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-22-01-01-2019.csv
maternal_deaths,23,Botswana,African Region,Botswana,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-23-01-01-2019.csv
maternal_deaths,24,Brazil,Region of the Americas,Brazil,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-24-01-01-2019.csv
maternal_deaths,25,Brunei Darussalam,Western Pacific Region,Brunei Darussalam,ranked_top1_fallback,ranked(1)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-yearly-maternal-deaths-world-area-25-01-01-2019.csv
maternal_deaths,26,Bulgaria,European Region,Bulgaria,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-26-01-01-2019.csv
maternal_deaths,27,Burkina Faso,African Region,Burkina Faso,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-27-01-01-2019.csv
maternal_deaths,28,Burundi,African Region,Burundi,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-28-01-01-2019.csv
maternal_deaths,29,Cabo Verde,African Region,Cabo Verde,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-29-01-01-2019.csv
maternal_deaths,30,Cambodia,Western Pacific Region,Cambodia,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-30-01-01-2019.csv
maternal_deaths,31,Cameroon,African Region,Cameroon,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-31-01-01-2019.csv
