outcome,area,country,source_country_name,region,year,observed,expected_median,expected_lower,expected_upper,model_source,excess_median,excess_lower,excess_upper,signed_deviation,observed_expected_ratio,log_observed_expected_ratio
maternal_deaths,1,Afghanistan,Afghanistan,Eastern Mediterranean,2020,9061,8341.89244391,7834.38336296,8862.17984621,ensemble_top4,719.107556086,198.82015379,1226.61663704,719.107556086,1.08620436681,0.0826893868695
maternal_deaths,1,Afghanistan,Afghanistan,Eastern Mediterranean,2021,9598,8128.63536485,7602.48955187,8649.05196712,ensemble_top4,1469.36463515,948.948032881,1995.51044813,1469.36463515,1.18076399902,0.166161685767
maternal_deaths,1,Afghanistan,Afghanistan,Eastern Mediterranean,2022,8055,7908.48100361,7390.38795965,8439.70329028,ensemble_top4,146.518996393,0,664.612040349,146.518996393,1.01852681903,0.0183572882326
maternal_deaths,1,Afghanistan,Afghanistan,Eastern Mediterranean,2023,7646,7692.24140342,7182.89957567,8233.82594795,ensemble_top4,0,0,463.100424327,-46.2414034177,0.993988565752,-0.0060295756595
maternal_deaths,2,Albania,Albania,European Region,2020,2.13,1.71340186476,0.260202637424,3.13869840649,ensemble_top4,0.416598135237,0,1.86979736258,0.416598135237,1.24314093722,0.217641190833
maternal_deaths,2,Albania,Albania,European Region,2021,4.13,1.39203103719,0.163564631668,3.03000878045,ensemble_top4,2.73796896281,1.09999121955,3.96643536833,2.73796896281,2.9668878708,1.08751354848
maternal_deaths,2,Albania,Albania,European Region,2022,2.33,1.12560710432,0.0633863131247,2.93651025828,ensemble_top4,1.20439289568,0,2.26661368688,1.20439289568,2.06999404237,0.727545729193
maternal_deaths,2,Albania,Albania,European Region,2023,1.98,0.888940557212,-0,2.78028753675,ensemble_top4,1.09105944279,0,1.98,1.09105944279,2.22737052994,0.800821755189
maternal_deaths,3,Algeria,Algeria,African Region,2020,956,749.006026399,681.265100677,825.231178107,ensemble_top4,206.993973601,130.768821893,274.734899323,206.993973601,1.27635822184,0.24401088364
maternal_deaths,3,Algeria,Algeria,African Region,2021,755.1,735.158495681,665.22737913,819.115130145,ensemble_top4,19.9415043187,0,89.8726208695,19.9415043187,1.02712544905,0.0267640744609
maternal_deaths,3,Algeria,Algeria,African Region,2022,600.6,722.548365288,654.452443641,816.064998693,ensemble_top4,0,0,0,-121.948365288,0.831224633331,-0.184855203772
maternal_deaths,3,Algeria,Algeria,African Region,2023,566.1,712.01981035,643.031716138,808.709119871,ensemble_top4,0,0,0,-145.91981035,0.795062148231,-0.229334993508
maternal_deaths,4,Andorra,Andorra,European Region,2020,0.26,0.0822616333096,0.0448448764712,0.121709469579,ensemble_top4,0.17773836669,0.138290530421,0.215155123529,0.17773836669,3.160647188,1.15077681296
maternal_deaths,4,Andorra,Andorra,European Region,2021,0.095,0.0833050991939,0.0433195891222,0.121760852533,ensemble_top4,0.0116949008061,0,0.0516804108778,0.0116949008061,1.14038637394,0.131367129489
maternal_deaths,4,Andorra,Andorra,European Region,2022,0.091,0.0821785216186,0.044991666774,0.122256423374,ensemble_top4,0.0088214783814,0,0.046008333226,0.0088214783814,1.10734530395,0.101965532776
maternal_deaths,4,Andorra,Andorra,European Region,2023,0.059,0.0826136781096,0.0426177959972,0.122291774435,ensemble_top4,0,0,0.0163822040028,-0.0236136781096,0.71416745205,-0.336637817459
maternal_deaths,5,Angola,Angola,African Region,2020,2550,2491.25416214,2336.71270106,2673.00105554,ensemble_top4,58.7458378616,0,213.287298935,58.7458378616,1.02358082879,0.023307095924
maternal_deaths,5,Angola,Angola,African Region,2021,2812,2423.16710124,2244.7024101,2633.85357671,ensemble_top4,388.832898762,178.14642329,567.297589898,388.832898762,1.16046474821,0.148820569887
maternal_deaths,5,Angola,Angola,African Region,2022,2506,2359.71350789,2157.14851363,2602.5541997,ensemble_top4,146.286492113,0,348.851486367,146.286492113,1.06199332742,0.0601476397683
maternal_deaths,5,Angola,Angola,African Region,2023,2531,2300.72208385,2072.4077247,2581.44281,ensemble_top4,230.277916147,0,458.5922753,230.277916147,1.10008941009,0.0953914583982
maternal_deaths,6,Antigua and Barbuda,Antigua and Barbuda,Region of the Americas,2020,0.39,0.306488387753,0.248751880091,0.365811296699,ensemble_top4,0.0835116122467,0.024188703301,0.141248119909,0.0835116122467,1.27247887876,0.240966871078
maternal_deaths,6,Antigua and Barbuda,Antigua and Barbuda,Region of the Americas,2021,0.36,0.300257606706,0.240980763736,0.358124595302,ensemble_top4,0.0597423932942,0.00187540469771,0.119019236264,0.0597423932942,1.19897045723,0.181463236237
maternal_deaths,6,Antigua and Barbuda,Antigua and Barbuda,Region of the Americas,2022,0.4,0.293772167819,0.235777887729,0.35276805442,ensemble_top4,0.106227832181,0.0472319455796,0.164222112271,0.106227832181,1.36159937468,0.308660019583
maternal_deaths,6,Antigua and Barbuda,Antigua and Barbuda,Region of the Americas,2023,0.38,0.285490489124,0.228134500004,0.344364974513,ensemble_top4,0.0945095108763,0.0356350254875,0.151865499996,0.0945095108763,1.33104258978,0.285962537231
maternal_deaths,7,Argentina,Argentina,Region of the Americas,2020,211.6,230.708623894,186.500645092,280.129073754,ensemble_top4,0,0,25.0993549079,-19.1086238936,0.917174210608,-0.0864578459168
maternal_deaths,7,Argentina,Argentina,Region of the Americas,2021,404.9,218.833876418,173.247275196,269.90919387,ensemble_top4,186.066123582,134.99080613,231.652724804,186.066123582,1.85026197327,0.61532723624
maternal_deaths,7,Argentina,Argentina,Region of the Americas,2022,195.1,205.540423333,157.574183231,260.529845212,ensemble_top4,0,0,37.5258167691,-10.4404233327,0.94920501202,-0.0521304741779
maternal_deaths,7,Argentina,Argentina,Region of the Americas,2023,167.4,193.628123478,146.018591616,252.592306036,ensemble_top4,0,0,21.3814083837,-26.2281234777,0.864543832752,-0.145553272134
maternal_deaths,8,Armenia,Armenia,European Region,2020,15.12,7.69113923862,6.35857334564,9.46813201707,ensemble_top4,7.42886076138,5.65186798293,8.76142665436,7.42886076138,1.96589861799,0.675949452743
maternal_deaths,8,Armenia,Armenia,European Region,2021,20.42,7.15028926953,5.8252260746,9.18661670175,ensemble_top4,13.2697107305,11.2333832983,14.5947739254,13.2697107305,2.8558285169,1.04936199957
maternal_deaths,8,Armenia,Armenia,European Region,2022,9.23,6.62335747412,5.33031410825,8.89089186371,ensemble_top4,2.60664252588,0.339108136288,3.89968589175,2.60664252588,1.3935530486,0.331856635816
maternal_deaths,8,Armenia,Armenia,European Region,2023,6.76,6.13222309232,4.82486418575,8.71590335858,ensemble_top4,0.62777690768,0,1.93513581425,0.62777690768,1.10237346199,0.0974655480502
maternal_deaths,9,Australia,Australia,Western Pacific Region,2020,15.17,14.9111027433,9.54746829997,16.6677274558,ensemble_top4,0.258897256652,0,5.62253170003,0.258897256652,1.01736271697,0.0172137073356
maternal_deaths,9,Australia,Australia,Western Pacific Region,2021,13.16,14.1058535692,8.47749195934,16.1945664629,ensemble_top4,0,0,4.68250804066,-0.945853569156,0.932946023825,-0.0694079320861
maternal_deaths,9,Australia,Australia,Western Pacific Region,2022,10.91,13.1220650548,7.44372295185,15.807312761,ensemble_top4,0,0,3.46627704815,-2.21206505482,0.831424014012,-0.184615368756
maternal_deaths,9,Australia,Australia,Western Pacific Region,2023,7.1,12.085665607,6.5191798053,15.5628218324,ensemble_top4,0,0,0.580820194697,-4.98566560703,0.587472815388,-0.531925305714
