outcome,area,country,source_country_name,region,year,observed,expected_median,expected_lower,expected_upper,model_source,excess_median,excess_lower,excess_upper,signed_deviation,observed_expected_ratio,log_observed_expected_ratio
mmr,7,Argentina,Argentina,Region of the Americas,2023,33.23,28.55687977,22.8765763487,34.2089001929,ensemble_top4,4.67312022999,0,10.3534236513,4.67312022999,1.16364253615,0.151555202614
mmr,8,Armenia,Armenia,European Region,2020,43.3,23.0333193109,22.732090363,23.3338567468,ranked_top1_fallback,20.2666806891,19.9661432532,20.567909637,20.2666806891,1.87988537021,0.631210801692
mmr,8,Armenia,Armenia,European Region,2021,57.3,22.7464416479,22.443149046,23.0637764163,ranked_top1_fallback,34.5535583521,34.2362235837,34.856850954,34.5535583521,2.51907532998,0.92389190164
mmr,8,Armenia,Armenia,European Region,2022,26.73,22.4779106513,22.1683533746,22.8004827909,ranked_top1_fallback,4.25208934869,3.92951720911,4.56164662536,4.25208934869,1.18916746377,0.173253452002
mmr,8,Armenia,Armenia,European Region,2023,19.48,22.2317083058,21.9241684011,22.5676294373,ranked_top1_fallback,0,0,0,-2.75170830583,0.876225962127,-0.132131273675
mmr,9,Australia,Australia,Western Pacific Region,2020,5.14,4.76061673528,4.39869571259,5.11073179878,ranked_top1_fallback,0.379383264725,0.0292682012156,0.741304287415,0.379383264725,1.07969204114,0.0766758533824
mmr,9,Australia,Australia,Western Pacific Region,2021,4.33,4.36113789449,3.92686459193,4.76285508277,ranked_top1_fallback,0,0,0.403135408072,-0.0311378944925,0.992860144475,-0.00716546627124
mmr,9,Australia,Australia,Western Pacific Region,2022,3.6,3.93462691941,3.43056600701,4.40545477907,ranked_top1_fallback,0,0,0.169433992986,-0.334626919413,0.914953329435,-0.0888822210898
mmr,9,Australia,Australia,Western Pacific Region,2023,2.33,3.48856066391,2.95036091172,4.04607317677,ranked_top1_fallback,0,0,0,-1.15856066391,0.667897228821,-0.403620966352
mmr,10,Austria,Austria,European Region,2020,5.55,6.72008186469,5.83428494941,7.56741725271,ensemble_top4,0,0,0,-1.17008186469,0.825882796036,-0.191302408948
mmr,10,Austria,Austria,European Region,2021,5.96,6.78662603336,5.82993430992,7.81256871435,ensemble_top4,0,0,0.130065690079,-0.826626033359,0.87819779235,-0.129883434693
mmr,10,Austria,Austria,European Region,2022,7.45,6.86235608992,5.85641444287,8.12525253824,ensemble_top4,0.58764391008,0,1.59358555713,0.58764391008,1.08563296663,0.0821631962792
mmr,10,Austria,Austria,European Region,2023,6.1,6.91322653379,5.86656316037,8.50068516089,ensemble_top4,0,0,0.233436839627,-0.813226533785,0.882366572278,-0.125147694491
mmr,11,Azerbaijan,Azerbaijan,European Region,2020,21.09,19.1454679106,15.1965311677,24.2069842111,ensemble_top4,1.94453208943,0,5.89346883229,1.94453208943,1.10156618258,0.0967329695067
mmr,11,Azerbaijan,Azerbaijan,European Region,2021,54.79,18.4279740689,14.3775822907,25.6126806184,ensemble_top4,36.3620259311,29.1773193816,40.4124177093,36.3620259311,2.97319715099,1.08963785564
mmr,11,Azerbaijan,Azerbaijan,European Region,2022,31.72,17.6998485601,13.4968076284,28.0821425103,ensemble_top4,14.0201514399,3.63785748966,18.2231923716,14.0201514399,1.79210572861,0.583391313153
mmr,11,Azerbaijan,Azerbaijan,European Region,2023,17.9,17.0134104672,12.4700079251,31.1574449428,ensemble_top4,0.886589532813,0,5.4299920749,0.886589532813,1.05211121747,0.0507988287589
mmr,12,Bahamas,Bahamas,Region of the Americas,2020,84.36,82.5669885805,69.3105406426,98.5590998844,ensemble_top4,1.79301141946,0,15.0494593574,1.79301141946,1.02171583886,0.0214834089552
mmr,12,Bahamas,Bahamas,Region of the Americas,2021,174.3,83.5170238019,67.9354131358,100.728478251,ensemble_top4,90.7829761981,73.5715217491,106.364586864,90.7829761981,2.08699965666,0.735727463583
mmr,12,Bahamas,Bahamas,Region of the Americas,2022,80.07,84.2174758113,66.6242990569,102.815408024,ensemble_top4,0,0,13.4457009431,-4.14747581134,0.950752788879,-0.0505011988315
mmr,12,Bahamas,Bahamas,Region of the Americas,2023,75.95,84.9819551657,64.8333352281,106.043296638,ensemble_top4,0,0,11.1166647719,-9.03195516568,0.893719141339,-0.112363712743
mmr,13,Bahrain,Bahrain,Eastern Mediterranean,2020,6.94,16.4696551237,14.3161772219,18.674541295,ensemble_top4,0,0,0,-9.52965512366,0.421381015443,-0.864217829783
mmr,13,Bahrain,Bahrain,Eastern Mediterranean,2021,9.54,16.496934379,14.0378444838,19.6662927794,ensemble_top4,0,0,0,-6.95693437901,0.578289261558,-0.547681082973
mmr,13,Bahrain,Bahrain,Eastern Mediterranean,2022,4.94,16.5185740291,13.6164816229,21.255245708,ensemble_top4,0,0,0,-11.5785740291,0.29905729098,-1.20712011532
mmr,13,Bahrain,Bahrain,Eastern Mediterranean,2023,16.78,16.581072425,13.3878983381,23.5177189919,ensemble_top4,0.198927575046,0,3.39210166193,0.198927575046,1.01199726833,0.0119258715809
mmr,14,Bangladesh,Bangladesh,Southeast Asia Region,2020,151.8,148.414792641,142.086430632,153.593748199,ensemble_top4,3.38520735921,0,9.71356936767,3.38520735921,1.02280909671,0.0225528583282
mmr,14,Bangladesh,Bangladesh,Southeast Asia Region,2021,193.9,139.606489036,132.828852753,145.693605816,ensemble_top4,54.2935109638,48.206394184,61.0711472466,54.2935109638,1.38890392086,0.328514889934
mmr,14,Bangladesh,Bangladesh,Southeast Asia Region,2022,130.5,131.393420583,124.551754304,138.367374788,ensemble_top4,0,0,5.94824569642,-0.893420582935,0.993200416132,-0.00682280636697
mmr,14,Bangladesh,Bangladesh,Southeast Asia Region,2023,115.1,123.617114012,116.390349036,131.787499821,ensemble_top4,0,0,0,-8.5171140125,0.931100850553,-0.0713876825949
mmr,15,Barbados,Barbados,Region of the Americas,2020,38.65,35.0616658213,33.1733572859,37.0480722457,ensemble_top4,3.58833417868,1.60192775425,5.47664271406,3.58833417868,1.10234351662,0.097438383226
mmr,15,Barbados,Barbados,Region of the Americas,2021,38.49,34.5128340115,32.5197509812,36.5344590118,ensemble_top4,3.97716598851,1.95554098822,5.97024901881,3.97716598851,1.11523730526,0.1090672121
mmr,15,Barbados,Barbados,Region of the Americas,2022,37.94,33.9322392647,31.9609848332,35.9401556734,ensemble_top4,4.00776073531,1.99984432659,5.97901516683,4.00776073531,1.11811070599,0.111640391287
mmr,15,Barbados,Barbados,Region of the Americas,2023,34.88,33.3932635602,31.4507429879,35.5496835033,ensemble_top4,1.48673643979,0,3.42925701205,1.48673643979,1.0445220467,0.0435594092144
mmr,16,Belarus,Belarus,European Region,2020,1.7,1.15920872313,0.826312478804,1.51215115366,ensemble_top4,0.540791276866,0.187848846344,0.873687521196,0.540791276866,1.4665176047,0.382890613934
mmr,16,Belarus,Belarus,European Region,2021,1.83,1.14863267491,0.795878456602,1.5086107402,ensemble_top4,0.681367325087,0.321389259799,1.0341215434,0.681367325087,1.59319862648,0.46574371021
mmr,16,Belarus,Belarus,European Region,2022,1.09,1.13350351129,0.777540073927,1.51318873082,ensemble_top4,0,0,0.312459926073,-0.0435035112925,0.961620311839,-0.0391355924633
mmr,16,Belarus,Belarus,European Region,2023,1.1,1.13097830831,0.759990206883,1.53145100922,ensemble_top4,0,0,0.340009793117,-0.0309783083082,0.972609281645,-0.0277728379311
mmr,17,Belgium,Belgium,European Region,2020,4.15,4.36411667593,3.93755942501,4.76851234922,ensemble_top4,0,0,0.212440574985,-0.214116675931,0.950936995541,-0.0503074693771
mmr,17,Belgium,Belgium,European Region,2021,7.34,4.23534819511,3.78683693433,4.65462791958,ensemble_top4,3.10465180489,2.68537208042,3.55316306567,3.10465180489,1.73303342768,0.549873299459
mmr,17,Belgium,Belgium,European Region,2022,10.76,4.09969370582,3.63884806509,4.51888446413,ensemble_top4,6.66030629418,6.24111553587,7.12115193491,6.66030629418,2.62458631598,0.964923289711
mmr,17,Belgium,Belgium,European Region,2023,3.84,3.97678789537,3.50352020541,4.38810001355,ensemble_top4,0,0,0.336479794587,-0.136787895375,0.965603421914,-0.0350020653836
mmr,18,Belize,Belize,Region of the Americas,2020,88.49,69.3937031319,61.6381088394,351.629600749,ensemble_top4,19.0962968681,0,26.8518911606,19.0962968681,1.27518774768,0.243093420853
mmr,18,Belize,Belize,Region of the Americas,2021,156.6,74.9317418404,65.673661792,401.664427946,ensemble_top4,81.6682581596,0,90.926338208,81.6682581596,2.08990203822,0.737117193215
